Name,Team,Position,GP,MPG,FT%,2P%,3P%,TS%,PPG,RPG,APG,SPG,BPG,TOV,ORTG,DRTG
Jabari Smith Jr.,HOU,F,47,34.9,0.764,0.512,0.354,0.55,15.1,6.9,1.9,0.8,1,1.3,118.5,108.6
Alperen Sengun,HOU,C,41,34.1,0.687,0.529,0.293,0.555,21.4,9.4,6.3,1.4,1,3.3,117.2,104.3
Steven Adams,HOU,C,32,22.8,0.58,0.504,0,0.535,5.8,8.6,1.5,0.7,0.6,1.1,124.9,107.4
Kevin Durant,HOU,F,45,36.8,0.886,0.56,0.405,0.631,26.2,5.4,4.6,0.7,0.9,3,124.9,111.4
Amen Thompson,HOU,G-F,48,37.5,0.791,0.549,0.193,0.567,18.1,7.8,5.5,1.5,0.6,2.5,122.4,110.3
Tari Eason,HOU,F,27,24.5,0.633,0.448,0.479,0.578,12,6.3,1.4,1.3,0.6,1.6,116.4,104.7
Reed Sheppard,HOU,G,48,24.6,0.778,0.481,0.384,0.549,12.6,2.5,3,1.4,0.6,1.2,118.5,108.3
Clint Capela,HOU,C,42,11.6,0.556,0.53,0,0.541,3.8,4.6,0.6,0.5,0.8,0.4,127.2,106.5
Josh Okogie,HOU,G,48,20.1,0.627,0.495,0.393,0.563,5.5,3,1,0.9,0.3,0.7,120,109
Luguentz Dort,OKC,G,41,27.8,0.844,0.5,0.36,0.547,8.9,4,1.2,0.9,0.5,0.7,111.7,101.5
Chet Holmgren,OKC,C-F,45,29.2,0.772,0.661,0.358,0.655,17.7,8.6,1.6,0.5,2,1.6,125.6,100.2
Isaiah Hartenstein,OKC,C-F,27,26.2,0.676,0.654,0,0.655,11,10,3.1,1,0.7,2.1,128.2,95.4
Cason Wallace,OKC,G,48,26.3,0.737,0.489,0.367,0.539,7.8,3,2,2.1,0.2,0.9,112,103.3
Shai Gilgeous-Alexander,OKC,G,49,33.3,0.892,0.603,0.39,0.67,31.8,4.4,6.4,1.3,0.8,2.1,134.5,105.8
Jaylin Williams,OKC,F,36,18.7,0.717,0.5,0.302,0.502,5.6,4.9,2.5,0.6,0.6,1,107.6,97.3
Aaron Wiggins,OKC,G,36,23.6,0.744,0.529,0.387,0.574,10.5,3.5,1.8,0.9,0.6,1.3,108.9,105.4
Alex Caruso,OKC,G,33,18.2,0.833,0.612,0.295,0.54,6.1,2.8,2.2,1.4,0.4,0.8,113.3,103.1
Brooks Barnhizer,OKC,G,27,7.2,0.667,0.522,0.167,0.49,1.1,1.6,0.3,0.2,0.1,0.2,110.1,102.1
Ajay Mitchell,OKC,G,43,26.2,0.87,0.545,0.35,0.59,14.1,3.5,3.7,1.4,0.3,1.6,117.8,103.1
Chris Youngblood,OKC,G,31,5,0.9,0.429,0.319,0.514,1.9,0.8,0.3,0.1,0,0.1,115.9,99.8
Jimmy Butler,GOL,F,38,31.1,0.864,0.553,0.376,0.647,20,5.6,4.9,1.4,0.2,1.6,137.2,114.3
Jonathan Kuminga,GOL,F,20,23.8,0.742,0.504,0.321,0.543,12.1,5.9,2.5,0.4,0.3,2.3,103.6,110
Draymond Green,GOL,F,42,26.6,0.7,0.563,0.319,0.53,8.4,5.7,5.2,0.9,0.7,2.7,101.9,103.9
Brandin Podziemski,GOL,G,51,26.8,0.762,0.514,0.385,0.578,12.1,4.6,3.6,1.1,0.2,1.5,115.6,109.6
Stephen Curry,GOL,G,39,31.3,0.931,0.584,0.391,0.636,27.2,3.5,4.8,1.1,0.4,2.8,119.7,112.6
Buddy Hield,GOL,G,44,17.5,0.794,0.6,0.344,0.562,8,2.5,1.5,0.8,0.2,1,109,110.4
Gary Payton II,GOL,G,46,12.6,0.571,0.641,0.28,0.582,4.7,3,1.5,0.5,0.3,0.9,115.1,103.3
Al Horford,GOL,C-F,30,20,1,0.557,0.357,0.559,7.3,4.9,2.3,0.8,1.1,0.9,116.2,108.5
Gui Santos,GOL,F,40,13.1,0.643,0.702,0.381,0.633,4.9,2.6,1.2,0.6,0.3,0.8,118,105.9
Will Richard,GOL,G,46,19.2,0.814,0.67,0.354,0.609,6.8,2.5,1.4,1.2,0.1,0.8,119.7,108.3
Quinten Post,GOL,C,51,17.8,0.833,0.602,0.35,0.566,8,4,1.4,0.5,0.5,0.8,114.2,105.7
Austin Reaves,LAL,G,24,34.7,0.87,0.623,0.36,0.663,26.1,5.2,6,1,0.2,3.2,126.6,113.9
Rui Hachimura,LAL,F,39,29.6,0.723,0.558,0.431,0.61,11.9,3.5,0.8,0.5,0.3,0.8,118.8,117
Deandre Ayton,LAL,C,44,28.4,0.662,0.674,0,0.68,13.5,8.5,0.9,0.7,1,1.4,129.3,110.2
Gabe Vincent,LAL,G,29,19.3,0.909,0.259,0.369,0.512,4.8,0.9,1.3,0.5,0,0.4,110.1,113.8
